Title,Date,Link,Image
កម្មវិធីចុះសួរសុខទុក្ខ និងនាំយកអំណោយសប្បុរសធម៌របស់សមាគមសង្គហមិត្តមន្ត្រីរាជការ នៃអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា ចែកជូនវិទ្យាល័យអប់រំពិសេសច្បារអំពៅ,ថ្ងៃទី៣ ខែមេសា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25465-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-5,https://api.customs.gov.kh/wp-content/uploads/2025/04/IMG_1670-600x400.jpg
កម្មវិធីចុះសួរសុខទុក្ខ និងនាំយកអំណោយជូនកងទ័ពនៅខេត្តសៀមរាប និងខេត្តឧត្តរមានជ័យ,ថ្ងៃទី៣០ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25395-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%9F%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%91%E1%9E%BB%E1%9E%80%E1%9F%92%E1%9E%81-3,https://api.customs.gov.kh/wp-content/uploads/2025/04/13-600x400.jpg
ការចុះហត្ថលេខាលើអនុស្សរណៈ នៃការយោគយល់គ្នា រវាងអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា និងក្រុមហ៊ុន DHL EXPRESS (CAMBODIA) LTD.,ថ្ងៃទី២៧ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25331-%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%A0%E1%9E%8F%E1%9F%92%E1%9E%90%E1%9E%9B%E1%9F%81%E1%9E%81%E1%9E%B6%E1%9E%9B%E1%9E%BE%E1%9E%A2%E1%9E%93%E1%9E%BB%E1%9E%9F%E1%9F%92%E1%9E%9F,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_7540-600x374.jpg
សិក្ខាសាលាស្តីពី កម្មវិធីប្រតិបត្តិករសេដ្ឋកិច្ចបានទទួលការអនុញ្ញាត,ថ្ងៃទី២៥ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25267-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%9F%E1%9F%92%E1%9E%8F%E1%9E%B8%E1%9E%96%E1%9E%B8-%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%9C%E1%9E%B7,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_8220-600x400.jpg
សិក្ខាសាលាថ្នាក់តំបន់អាស៊ីប៉ាស៊ីហ្វិក ស្តីពី “ភាពជាអ្នកដឹកនាំគយ ឆ្នាំ២០២៥”,ថ្ងៃទី១៩ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25205-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%90%E1%9F%92%E1%9E%93%E1%9E%B6%E1%9E%80%E1%9F%8B%E1%9E%8F%E1%9F%86%E1%9E%94%E1%9E%93%E1%9F%8B%E1%9E%A2-2,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_8699-600x399.jpeg
ជំនួបសម្តែងការគួរសម និងពិភាក្សាការងារជាមួយគណៈប្រតិភូសភាពាណិជ្ជកម្មអាម៉េរិកប្រចាំនៅកម្ពុជា (AmCham Cambodia),ថ្ងៃទី១៩ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25181-%E1%9E%87%E1%9F%86%E1%9E%93%E1%9E%BD%E1%9E%94%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%8F%E1%9F%82%E1%9E%84%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%82%E1%9E%BD%E1%9E%9A%E1%9E%9F%E1%9E%98-%E1%9E%93%E1%9E%B7%E1%9E%84,https://api.customs.gov.kh/wp-content/uploads/2025/03/6-1-600x507.jpg
ការធ្វើតេស្តរកសារធាតុញៀនរបស់មន្ត្រីរាជការ-បុគ្គលិក នៃអគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា,ថ្ងៃទី១៤ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25103-%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%E1%9E%8F%E1%9F%81%E1%9E%9F%E1%9F%92%E1%9E%8F%E1%9E%9A%E1%9E%80%E1%9E%9F%E1%9E%B6%E1%9E%9A%E1%9E%92%E1%9E%B6%E1%9E%8F%E1%9E%BB%E1%9E%89,https://api.customs.gov.kh/wp-content/uploads/2025/03/36-600x401.jpg
សេចក្ដីប្រកាសព័ត៌មាន ស្តីពីការចាប់ឃាត់ សំបកកង់រថយន្តចាស់ៗប្រើរួចនាំចូលខុសច្បាប់,ថ្ងៃទី៧ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25043-%E1%9E%9F%E1%9F%81%E1%9E%85%E1%9E%80%E1%9F%92%E1%9E%8A%E1%9E%B8%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%80%E1%9E%B6%E1%9E%9F%E1%9E%96%E1%9F%90%E1%9E%8F%E1%9F%8C%E1%9E%98%E1%9E%B6%E1%9E%93-%E1%9E%9F-3,https://api.customs.gov.kh/wp-content/uploads/2025/03/IMG_0995-450x600.jpg
សិក្ខាសាលាផ្សព្វផ្សាយស្តីពីការលើកទឹកចិត្តផ្នែកគយដល់សមាគមស្វាយចន្ទីកម្ពុជា,ថ្ងៃទី៣ ខែមីនា ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/25021-%E1%9E%9F%E1%9E%B7%E1%9E%80%E1%9F%92%E1%9E%81%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%9B%E1%9E%B6%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%96%E1%9F%92%E1%9E%9C%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%99%E1%9E%9F-7,https://api.customs.gov.kh/wp-content/uploads/2025/03/photo_2_2025-03-04_09-06-22-600x450.jpg
ពិធីកម្ទេចទំនិញល្មើសច្បាប់ និងទំនិញខូចគុណភាព,ថ្ងៃទី២៨ ខែកុម្ភៈ ឆ្នាំ២០២៥,https://www.customs.gov.kh/news-and-events/24885-%E1%9E%96%E1%9E%B7%E1%9E%92%E1%9E%B8%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%91%E1%9F%81%E1%9E%85%E1%9E%91%E1%9F%86%E1%9E%93%E1%9E%B7%E1%9E%89%E1%9E%9B%E1%9F%92%E1%9E%98%E1%9E%BE%E1%9E%9F%E1%9E%85%E1%9F%92,https://api.customs.gov.kh/wp-content/uploads/2025/03/6-IMG_2416-600x400.jpg
